X_(ms),SERVO_03.r35:_Motortemperatur_PT1000,SERVO_03.r63:_Drehzahlistwert_geglättet,SERVO_03.r76:_Stromistwert_feldbildend,SERVO_03.r78[1]:_Stromistwert_momentenbildend._Geglättet_mit_p0045,SERVO_03.r72:_Ausgangsspannung,Drehzahl_>_0_(Siemens),TM150_04.r4105[1]:_TM150_Temperaturistwert._Temperaturkanal_1_KTY,Channel_1-Vor_Kühlwasser_PT100_an_Muffe,Channel_2-Ruek_Kühlwasser_PT100_an_Muffe,Drehzahl_>_0_(PT104),RotorTemp,Channel_3-Rot_RotorTemp_(Wert_/_0.0125_=_°C),Control_Unit.r747:_CU_Digitalausgänge_Status_Drehzahl_>_0,Channel_4_ON_wenn_>_700_dann_Drehzahl_>_0
123000,25.63347054,499.9237061,-0.399006307,1.537146568,418.5993652,10,24.5,23.657,23.743,10,25.06,0.31325,4096,700.16443
124000,25.65692711,500.0072021,-0.334536821,1.80448997,415.7730103,10,24.5,23.655,23.743,10,25.06,0.31325,4096,700.18896
125000,25.70740318,500.0871277,-0.406521618,1.82435441,412.8054199,10,24.5,23.654,23.758,10,25.06,0.31325,4096,700.18896
126000,25.79951096,499.9556885,-0.275135815,1.666798472,414.0166626,10,24.5,23.654,23.758,10,25.0896,0.31362,4096,700.18451
127000,25.74510384,500.1993408,-0.346093237,1.530097842,414.4549866,10,24.5,23.658,23.758,10,25.0896,0.31362,4096,700.1756
128000,25.75715256,499.9558105,-0.347902596,1.635452747,415.8844604,10,24.5,23.658,23.776,10,25.0896,0.31362,4096,700.1756
129000,25.74355698,500.1218567,-0.401669145,1.563423514,414.0783386,10,24.60000038,23.658,23.776,10,25.3376,0.31672,4096,700.16382
130000,25.80423355,500.0040894,-0.298177481,1.456071138,413.8856506,10,24.60000038,23.68,23.776,10,25.3376,0.31672,4096,700.16382
131000,25.99300575,500.0987549,-0.36526078,1.669072032,413.0909729,10,24.60000038,23.68,23.773,10,25.3816,0.31727,4096,700.16382
132000,25.84833145,500.0522156,-0.36491102,1.619455934,413.9241943,10,24.60000038,23.68,23.773,10,25.3816,0.31727,4096,700.1861
133000,25.94074059,500.1122437,-0.312216192,1.696780324,411.79599,10,24.60000038,23.678,23.795,10,25.3816,0.31727,4096,700.1861
134000,25.9558773,500.1080017,-0.273950368,1.718473196,412.6515808,10,24.60000038,23.678,23.795,10,25.544,0.3193,4096,700.1861
135000,25.94697762,500.0619507,-0.281900555,1.80073154,414.6691589,10,24.60000038,23.688,23.795,10,25.544,0.3193,4096,700.16071
136000,26.09400749,500.0856323,-0.393985361,1.52152884,413.1720886,10,24.70000076,23.688,23.803,10,25.544,0.3193,4096,700.16071
137000,26.16085243,500.0577087,-0.358913362,1.453533888,413.4382019,10,24.70000076,23.688,23.803,10,25.6072,0.32009,4096,700.13599
